total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
795.0,16.0,80.0,456.0,176.0,37.0,30.0,412.0,0.0,189.0,31,055,007310,1380.0,1.7358490566037736,31055007310
528.0,4.0,94.0,245.0,132.0,53.0,0.0,765.0,245.0,396.0,31,055,007311,1930.0,3.6553030303030303,31055007311
460.0,6.0,107.0,128.0,152.0,28.0,39.0,665.0,72.0,418.0,31,055,007312,1609.0,3.497826086956522,31055007312
1403.0,0.0,146.0,935.0,257.0,38.0,27.0,78.0,0.0,12.0,31,055,007314,1493.0,1.0641482537419815,31055007314
1895.0,25.0,412.0,985.0,395.0,78.0,0.0,372.0,0.0,208.0,31,055,007315,2450.0,1.2928759894459103,31055007315
1170.0,11.0,171.0,612.0,281.0,87.0,8.0,168.0,0.0,0.0,31,055,007316,1327.0,1.1341880341880342,31055007316
1492.0,2.0,248.0,723.0,244.0,210.0,65.0,336.0,68.0,49.0,31,055,007317,1943.0,1.302278820375335,31055007317
2991.0,22.0,516.0,1592.0,699.0,92.0,70.0,129.0,6.0,73.0,31,055,007318,3177.0,1.0621865596790372,31055007318
1409.0,0.0,404.0,708.0,262.0,35.0,0.0,258.0,0.0,197.0,31,055,007319,1864.0,1.3229240596167495,31055007319
1247.0,0.0,370.0,607.0,163.0,107.0,0.0,254.0,87.0,128.0,31,055,007320,1716.0,1.376102646351243,31055007320
1427.0,12.0,311.0,760.0,168.0,122.0,54.0,886.0,78.0,627.0,31,055,007406,3006.0,2.1065171688857744,31055007406
869.0,30.0,210.0,445.0,123.0,61.0,0.0,589.0,90.0,364.0,31,055,007407,1882.0,2.1657077100115076,31055007407
1103.0,34.0,295.0,512.0,171.0,71.0,20.0,829.0,108.0,503.0,31,055,007408,2509.0,2.274705349048051,31055007408
758.0,7.0,217.0,384.0,82.0,68.0,0.0,153.0,5.0,57.0,31,055,007409,966.0,1.274406332453826,31055007409
605.0,9.0,180.0,282.0,107.0,17.0,10.0,904.0,99.0,518.0,31,055,007424,2117.0,3.4991735537190083,31055007424
1098.0,0.0,241.0,488.0,108.0,240.0,21.0,257.0,0.0,173.0,31,055,007429,1528.0,1.3916211293260474,31055007429
1232.0,0.0,218.0,601.0,191.0,107.0,115.0,547.0,55.0,255.0,31,055,007431,2089.0,1.6956168831168832,31055007431
913.0,0.0,270.0,386.0,174.0,83.0,0.0,416.0,7.0,238.0,31,055,007432,1574.0,1.723986856516977,31055007432
